pps,time to predict
10.0,87.8724
1.0,52.7053
0,0
4.0,45.8407
12.0,42.9092
2525.0,203.0093
8826.0,718.3347
20334.0,1244.3722
19989.0,1285.3936
17379.0,1441.5498
15478.0,2206.7261
18597.0,1483.5215
17868.0,1501.0886
16741.0,1613.3294
16119.0,1313.7316
15156.0,1846.5967
20125.0,1605.0204
16697.0,1051.1198
16398.0,480.2227
282.0,68.2817
13.0,49.7761
10.0,1400.5628
41.0,63.4421
39.0,60.5123
47.0,67.3441
14.0,63.4639
62.0,60.5079
19.0,60.5108
27.0,60.509
32.0,52.7033
102.0,67.3182
378.0,85.8863
68.0,61.4889
41.0,62.4224
33.0,61.4888
5.0,48.8054
35.0,51.7278
5.0,46.8144
8.0,46.8483
8.0,48.7975
67.0,71.2506
3224.0,120.0461
1111.0,96.589
668.0,78.0821
54.0,49.7434
29.0,67.3438
13.0,53.6803
26.0,106.3872
305.0,62.5041
65.0,51.7286
13.0,73.2012
1053.0,109.3138
974.0,83.939
661.0,86.866
15.0,47.788
3063.0,142.4958
1050.0,92.6864
35.0,52.7054
24.0,46.8165
15.0,42.9136
9.0,52.7038
8.0,43.8874
7.0,47.8242
7.0,52.6682
25.0,47.8241
6.0,46.8466
5.0,47.8236
8.0,49.775
20.0,60.511
8.0,41.9683
12.0,43.9201
2.0,48.8247
12.0,50.752
1.0,44.8638
15.0,48.7985
8.0,47.7912
1213.0,126.8746
512.0,119.0703
21.0,67.3436
19.0,58.5603
17.0,56.6075
30.0,51.7262
28.0,56.6067
23.0,55.5993
7.0,54.655
22.0,60.5457
10.0,63.44
7.0,46.8178
9.0,58.557
6.0,69.2957
7.0,56.571
10.0,55.6329
18.0,60.5129
17.0,48.7985
4.0,84.9105
7.0,54.6951
14.0,83.9378
7.0,53.6793
3.0,61.4869
22.0,66.3698
18.0,61.49
5.0,57.5859
6.0,64.4167
17.0,49.7442
12.0,46.8147
23.0,44.8972
13.0,82.9595
8.0,55.5991
14.0,62.4307
26.0,60.48
7.0,53.6811
3.0,51.7294
13.0,50.7528
6.0,47.8179
4.0,52.7037
4.0,50.7524
8.0,58.5604
82.0,56.6309
10.0,56.6082
11.0,47.8236
2.0,63.4432
3.0,68.3212
5.0,63.4398
33.0,54.6559
9.0,53.6485
16.0,74.1811
10.0,55.5993
6.0,50.7164
22.0,56.6088
21.0,47.8627
191.0,98.5751
80.0,60.4801
127.0,59.5345
144.0,62.4632
155.0,71.2812
41.0,58.5596
14.0,58.5644
17.0,52.7036
